,task,step,participant_id,created_at,acceptable,reasoning,take,fpv_filepath,fpv_circle_filepath,fpv_attention_filepath,tpv_filepath,instructions,question,correct_answer,gemini_answer,gemini_acceptable,ablation_setting,qa_id
0,Elastische Stoffe (Falsch),Vernähen,0,2024-06-14T15:55:09.565554+00:00,,['KNOWLEDGE'],0,fpv_out/participant-0-Elastische Stoffe (Falsch)-Vernaehen-take-0.mp4,fpv_circle_out/participant-0-Elastische Stoffe (Falsch)-Vernaehen-take-0.mp4,fpv_attention_out/participant-0-Elastische Stoffe (Falsch)-Vernaehen-take-0.mp4,tpv_out/participant-0-Elastische Stoffe (Falsch)-Vernaehen-take-0.mp4,"
    - Durch Betätigen des Fußpedals mit dem Nähen beginnen; nur ein kurzes Stück vorwärts nähen und dann anhalten.
    - Versuchen mithilfe des Rückwärtsnähknopfs oder -hebels den Nahtanfang durch Vor- und Zurücknähen sichern.


$\rightarrow$ Vernähen misslingt; Stoff wird von der Maschine eingezogen.
",Sollte ich beim Nahtanfang elastischer Stoffe durch Vor und Zurücknähen sichern?,"Nein, Vor und Zurücknähen elastischer Stoffe verursacht Einzug des Stoffes.","Um eine sichere Naht an elastischen Stoffen zu gewährleisten, sollte man eher kurze Stiche verwenden oder einen Zickzackstich nutzen. 
",0,naive baseline,10
1,Elastische Stoffe (Falsch),Nähen,0,2024-06-17T21:11:50.129571+00:00,,['KNOWLEDGE'],1,fpv_out/participant-0-Elastische Stoffe (Falsch)-Naehen-take-1.mp4,fpv_circle_out/participant-0-Elastische Stoffe (Falsch)-Naehen-take-1.mp4,fpv_attention_out/participant-0-Elastische Stoffe (Falsch)-Naehen-take-1.mp4,tpv_out/participant-0-Elastische Stoffe (Falsch)-Naehen-take-1.mp4,"
    - Durch Betätigen des Fußpedals mit dem Nähen beginnen.
    - Auf Vernähen des Nahtbeginns verzichten.
    - Die Naht bis zum gewünschten Ende vorwärts nähen.

",Was soll mit dem Nahtbeginn geschehen?,Der Nahtbeginn soll nicht vernäht werden.,"Um einen sauberen Nahtbeginn zu gewährleisten, sollte die Naht mit ein paar Rückstichen verriegelt werden. 
",0,naive baseline,122
2,Geradeausstich,Nähen,0,2024-06-17T17:28:41.727039+00:00,,['KNOWLEDGE'],0,fpv_out/participant-0-Geradeausstich-Naehen-take-0.mp4,fpv_circle_out/participant-0-Geradeausstich-Naehen-take-0.mp4,fpv_attention_out/participant-0-Geradeausstich-Naehen-take-0.mp4,tpv_out/participant-0-Geradeausstich-Naehen-take-0.mp4,"
    - Durch Drücken des Fußpedals mit dem Nähen beginnen; nur ein kurzes Stück vorwärts nähen und dann anhalten.
    - Den Rückwärtsnähen-Knopf oder Hebel betätigen.
    - Durch Drücken des Fußpedals bis zum Nahtbeginn nach hinten nähen, um den Nahtanfang durch Vernähen zu sichern.
    - Nach dem Vernähen den Rückwärtsnähen-Knopf oder Hebel erneut betätigen und die Naht bis zum gewünschten Ende vorwärts nähen.
    - Zum Abschluss der Naht, den Rückwärtsnähen-Knopf oder Hebel erneut nutzen, um das Nahtende zu sichern.

",Ist die Sicherung der Naht durch Rückwärtsnähen nur zu Beginn der Naht notwendig?,"Nein, auch am Ende der Naht muss der Vorgang wiederholt werden, damit der Abschluss der Naht gesichert wird.","Um eine Naht zu sichern, wird zu Beginn und am Ende der Naht einige Stiche rückwärts genäht. 
",0,naive baseline,77
3,Geradeausstich,Abschluss,0,2024-06-17T22:07:17.505060+00:00,,['KNOWLEDGE'],0,fpv_out/participant-0-Geradeausstich-Abschluss-take-0.mp4,fpv_circle_out/participant-0-Geradeausstich-Abschluss-take-0.mp4,fpv_attention_out/participant-0-Geradeausstich-Abschluss-take-0.mp4,tpv_out/participant-0-Geradeausstich-Abschluss-take-0.mp4,"
    - Den Nähfuß mit dem Nähfußhebel anheben.
    - Das Stoffstück zur linken Seite wegziehen.
    - Sollte der Stoff spannen, das Handrad drehen, um die Spannung zu lösen und das Wegziehen des Stoffstücks zu erleichtern.
    - Die Fäden mit dem integrierten Fadenschneider der Maschine abschneiden.

",Womit kann ich die Fäden abschneiden?,Mit dem integrierten Fadenschneider der Maschine oder mit einer Schere.,"Um die Fäden abzuschneiden, wird der Fadenschneider an der Nähmaschine verwendet. 
",1,naive baseline,145
4,Einfädeln Oberspule,Einfädeln der Nadel,0,2024-06-17T17:49:50.032365+00:00,,['KNOWLEDGE'],0,fpv_out/participant-0-Einfaedeln Oberspule-Einfaedeln der Nadel-take-0.mp4,fpv_circle_out/participant-0-Einfaedeln Oberspule-Einfaedeln der Nadel-take-0.mp4,fpv_attention_out/participant-0-Einfaedeln Oberspule-Einfaedeln der Nadel-take-0.mp4,tpv_out/participant-0-Einfaedeln Oberspule-Einfaedeln der Nadel-take-0.mp4,"
    - Den Nähfuß mit dem entsprechenden Hebel anheben, um Fadenspannung zu lösen.
    - Das Ende des Oberfadens mit einer Schere gerade abschneiden, um das Einfädeln zu erleichtern.
    - Den Oberfaden von vorne nach hinten durch das Nadelöhr führen.
    - Ein Stück des Oberfadens durch das Nadelöhr zur linken Seite ziehen.

",Wie kann man sich das Einfädeln in das Nadelöhr erleichtern?,"Den Faden mit einer Schere sauber abschneiden, damit das Fadenende nicht ausgefranst ist.","Um das Einfädeln in das Nadelöhr zu erleichtern, kann man einen Einfädler verwenden. 
",0,naive baseline,89
5,Elastische Stoffe (Richtig),Abschluss (1),0,2024-06-17T22:18:47.728082+00:00,,['KNOWLEDGE'],1,fpv_out/participant-0-Elastische Stoffe (Richtig)-Abschluss (1)-take-1.mp4,fpv_circle_out/participant-0-Elastische Stoffe (Richtig)-Abschluss (1)-take-1.mp4,fpv_attention_out/participant-0-Elastische Stoffe (Richtig)-Abschluss (1)-take-1.mp4,tpv_out/participant-0-Elastische Stoffe (Richtig)-Abschluss (1)-take-1.mp4,"
    - Den Nähfuß mit dem Nähfußhebel anheben.
    - Das Stoffstück zur linken Seite wegziehen.
    - Sollte der Stoff spannen, das Handrad drehen, um die Spannung zu lösen und das Wegziehen des Stoffstücks zu erleichtern.
    - Die Fäden mit dem integrierten Fadenschneider der Maschine abschneiden.


$\rightarrow$ Der Zickzack-Stich erlaubt Dehnung des elastischen Stoffes und verhindert Reißen der Naht.
",Welchen Stich sollte ich für Elastische Stoffe verwenden?,Einen Zickzack-Stich.,"Um elastische Stoffe zu nähen, wird ein Zickzackstich oder ein Overlockstich verwendet. 
",1,naive baseline,150
6,Elastische Stoffe (Falsch),Nähen,0,2024-06-17T21:08:15.957838+00:00,,['KNOWLEDGE'],1,fpv_out/participant-0-Elastische Stoffe (Falsch)-Naehen-take-1.mp4,fpv_circle_out/participant-0-Elastische Stoffe (Falsch)-Naehen-take-1.mp4,fpv_attention_out/participant-0-Elastische Stoffe (Falsch)-Naehen-take-1.mp4,tpv_out/participant-0-Elastische Stoffe (Falsch)-Naehen-take-1.mp4,"
    - Durch Betätigen des Fußpedals mit dem Nähen beginnen.
    - Auf Vernähen des Nahtbeginns verzichten.
    - Die Naht bis zum gewünschten Ende vorwärts nähen.

",Wie beginnt man mit dem Nähen?,Das Fußpedal muss betätigt werden.,"Um mit dem Nähen zu beginnen, wird der Fußanlasser gedrückt und gleichzeitig der Stoff unter die Nadel geführt. 
",1,naive baseline,120
7,Aufspulen,Fadenabschneiden,0,2024-06-14T17:18:07.106456+00:00,,['KNOWLEDGE'],0,fpv_out/participant-0-Aufspulen-Fadenabschneiden-take-0.mp4,fpv_circle_out/participant-0-Aufspulen-Fadenabschneiden-take-0.mp4,fpv_attention_out/participant-0-Aufspulen-Fadenabschneiden-take-0.mp4,tpv_out/participant-0-Aufspulen-Fadenabschneiden-take-0.mp4,"
    - Die Unterspule abnehmen.
    - Den Faden mit dem integrierten Fadenschneider der Maschine abschneiden.

",Wie wird der Faden nach dem Aufspulen abgeschnitten?,Der Faden wird mit dem integrierten Fadenschneider der Maschine abgeschnitten,"Um den Faden nach dem Aufspulen abzuschneiden, wird die Aufspulautomatik deaktiviert und der Faden mit einer Schere durchtrennt. 
",0,naive baseline,59
8,Versäubern,Maschineneinstellungen,0,2024-06-17T21:04:06.677934+00:00,,['KNOWLEDGE'],0,fpv_out/participant-0-Versaeubern-Maschineneinstellungen-take-0.mp4,fpv_circle_out/participant-0-Versaeubern-Maschineneinstellungen-take-0.mp4,fpv_attention_out/participant-0-Versaeubern-Maschineneinstellungen-take-0.mp4,tpv_out/participant-0-Versaeubern-Maschineneinstellungen-take-0.mp4,"- Die Stichart mithilfe des Stichauswahlrads auf Zickzack-Stich setzen.
    - Die Stichlänge am Stichlängeneinstellrad je nach Wunsch auf ca. 2,5 bis 2 mm einstellen.
    - Die Stichbreite am Stichbreiteneinstellrad für den Zickzack-Stich auf 6 mm setzen.

\newpage",Welche Länge soll der Stich haben?,"Die Stichlänge soll auf ca. 2,5 bis 2 mm eingestellt werden.","Die optimale Stichlänge hängt vom Stoff und dem Nähprojekt ab. Für dünne Stoffe eignet sich eine kürzere Stichlänge (z.B. 2 mm), für dickere Stoffe eine längere (z.B. 4 mm).",0,naive baseline,119
9,Versäubern,Maschineneinstellungen,0,2024-06-17T21:03:31.145292+00:00,,['KNOWLEDGE'],0,fpv_out/participant-0-Versaeubern-Maschineneinstellungen-take-0.mp4,fpv_circle_out/participant-0-Versaeubern-Maschineneinstellungen-take-0.mp4,fpv_attention_out/participant-0-Versaeubern-Maschineneinstellungen-take-0.mp4,tpv_out/participant-0-Versaeubern-Maschineneinstellungen-take-0.mp4,"- Die Stichart mithilfe des Stichauswahlrads auf Zickzack-Stich setzen.
    - Die Stichlänge am Stichlängeneinstellrad je nach Wunsch auf ca. 2,5 bis 2 mm einstellen.
    - Die Stichbreite am Stichbreiteneinstellrad für den Zickzack-Stich auf 6 mm setzen.

\newpage",Welche Breite soll für den Stich gesetzt werden?,Die Stichbreite soll 6 mm betragen.,"Die optimale Stichbreite hängt vom Stoff und dem gewünschten Effekt ab. 
",0,naive baseline,118
10,Aufspulen,Vorbereitung der Spulen,0,2024-06-14T17:04:29.323461+00:00,,['KNOWLEDGE'],0,fpv_out/participant-0-Aufspulen-Vorbereitung der Spulen-take-0.mp4,fpv_circle_out/participant-0-Aufspulen-Vorbereitung der Spulen-take-0.mp4,fpv_attention_out/participant-0-Aufspulen-Vorbereitung der Spulen-take-0.mp4,tpv_out/participant-0-Aufspulen-Vorbereitung der Spulen-take-0.mp4,"
    - 
        Oberspule (Quelle):
        
            - Die Oberspule auf dem dafür vorgesehenen Spulenstift platzieren.
            - Einen geeigneten Spulenhalter auf dem Stift befestigen, um zu verhindern, dass die Oberspule während des Aufspulens wackelt.
            - Größe des Stoppers anhand des Durchmessers der Oberspule wählen.
        
    
    - 
        Unterspule (Ziel):
        
            - Die leere Unterspule auf den Spulenwickelstift setzen.
        
    

","Wo wird die Oberspule platziert, bevor mit dem Aufspulen begonnen wird?",Die Oberspule wird auf dem dafür vorgesehenen Spulenstift platziert.,"Um die Oberspule vor dem Aufspulen zu platzieren, wird diese auf den Spulenstift gesteckt. 
",1,naive baseline,48
