,question,correct_answer,task,step,participant_id,created_at,acceptable,reasoning,qa_id
0,Wie beendet man das Naehen von elastischen Stoffen?,"Den Nähfuß mit dem Nähfußhebel anheben, dann das Stoffstück zur linken Seite wegziehen.
Sollte der Stoff spannen, das Handrad drehen, um die Spannung zu lösen und das Wegziehen des Stoffstücks zu erleichtern.
Dann die Fäden mit dem integrierten Fadenschneider der Maschine abschneiden.",Elastische Stoffe (Richtig),Abschluss (2):,666385ac665424f2b86186cd,2024-06-14T15:42:09.053625+00:00,True,['KNOWLEDGE'],1
1,Zu welcher Seite sollte man elastische Stoffe zum Abschluss wegziehen?,Das Stoffstück sollte zur linken Seite weggezogen werden.,Elastische Stoffe (Richtig),Abschluss (2):,666385ac665424f2b86186cd,2024-06-14T15:43:55.197817+00:00,True,['SPATIAL'],2
2,"Was sollte man tun, wenn beim Wegziehen elastischer Stoffe der Stoff spannt?","Sollte der Stoff spannen, sollte man das Handrad drehen, um die Spannung zu lösen und das Wegziehen des Stoffstücks zu erleichtern.",Elastische Stoffe (Richtig),Abschluss (2):,666385ac665424f2b86186cd,2024-06-14T15:45:18.352056+00:00,True,['KNOWLEDGE'],3
3,"Ist es ok, beim Aufspulen vorhandene Reste alten Fadens verbleiben zu lassen?",Vorhandene Reste alten Fadens sollten von der Unterspule entfernt werden.,Aufspulen,Fadenentfernung: ,666385ac665424f2b86186cd,2024-06-14T15:47:39.175585+00:00,False,,4
4,Wie entferne ich vorhandene Reste des alten Fadens von der Unterspule vor erneutem Aufspulen?,Vorhandene Reste alten Fadens koennen durch Abziehen von der Unterspule entfernt werden.,Aufspulen,Fadenentfernung: ,666385ac665424f2b86186cd,2024-06-14T15:49:09.095136+00:00,False,,5
5,Wie entferne ich Reste alten Fadens von der Unterspule?,Vorhandene Reste alten Fadens von der Unterspule koennen zur Abziehen entfernt werden.,Aufspulen,Fadenentfernung: ,666385ac665424f2b86186cd,2024-06-14T15:50:36.663084+00:00,False,,6
6,Wann wird der Spulvorgang beendet?,Der Spulvorgang wird beendet BEVOR der Faden über den Spulenrand hinausragt.,Aufspulen,Beendigung des Spulvorgangs:,6153963f97c84ce267a3d5fc,2024-06-14T15:51:36.478964+00:00,True,['TEMPORAL'],7
7,Kann ich elastische Stoffe am Nahtanfang durch Vor und Zurücknähen sichern?,"Nein, Vor und Zurücknähen elastischer Stoffe verursacht dass der Stoff von der Maschine eingezogen wird.",Elastische Stoffe (Falsch),Vernähen:,666385ac665424f2b86186cd,2024-06-14T15:53:14.678206+00:00,True,['KNOWLEDGE'],8
8,Was passiert nach dem Spulvorgang?,Nach dem Spulvorgang wird der Spulwickelstift der Unterspule nach links in die Ausgangsposition geschoben.,Aufspulen,Beendigung des Spulvorgangs:,6153963f97c84ce267a3d5fc,2024-06-14T15:53:37.498464+00:00,True,"['SPATIAL', 'TEMPORAL']",9
9,Sollte ich beim Nahtanfang elastischer Stoffe durch Vor und Zurücknähen sichern?,"Nein, Vor und Zurücknähen elastischer Stoffe verursacht Einzug des Stoffes.",Elastische Stoffe (Falsch),Vernähen:,666385ac665424f2b86186cd,2024-06-14T15:55:09.565554+00:00,True,['KNOWLEDGE'],10
10,Was ist beim Aufspulen zu beachten?,Der Füllstand der Unterspule muss kontinuierlich überwacht werden.,Aufspulen,Beendigung des Spulvorgangs:,6153963f97c84ce267a3d5fc,2024-06-14T15:55:43.969590+00:00,True,['KNOWLEDGE'],11
11,Sollte ich beim Nahtanfang Vor und Zurücknähen Vor und Zurücknähen?,"Nein, Vor und Zurücknähen Vor und Zurücknähen ist nicht empfehlenswert.",Elastische Stoffe (Falsch),Vernähen:,666385ac665424f2b86186cd,2024-06-14T15:56:35.068369+00:00,True,['KNOWLEDGE'],12
12,In welche Richtung wird die Unterspule eingesetzt?,"Bei horizontalem Spulenkorb: Fadenrichtung gegen den Uhrzeigersinn.
Bei vertikalem Spulenkorb: Fadenrichtung im Uhrzeigersinn.",Einfädeln Unterspule,Einsetzen der Unterspule: ,6153963f97c84ce267a3d5fc,2024-06-14T15:59:03.653433+00:00,True,"['KNOWLEDGE', 'SPATIAL']",13
13,Wie schneide ich zum Abschluss die Fäden?,Die Fäden koennen zum Abschluss mit dem integrierten Fadenschneider der Maschine abgeschnitten werden.,Elastische Stoffe (Falsch),Abschluss (1):,666385ac665424f2b86186cd,2024-06-14T15:59:23.875492+00:00,False,,14
14,Was passiert nach dem Aufspulen der Unterspule?,Die Unterspule wird in den Spulenkorb eingesetzt.,Einfädeln Unterspule,Einsetzen der Unterspule: ,6153963f97c84ce267a3d5fc,2024-06-14T15:59:47.497806+00:00,True,['TEMPORAL'],15
15,Was mache ich zum Abschluss mit dem Nähfuß?,Den Nähfuß muss zum Abschluss mit dem Nähfußhebel angehoben werden.,Elastische Stoffe (Falsch),Abschluss (1):,666385ac665424f2b86186cd,2024-06-14T16:00:39.004412+00:00,True,['KNOWLEDGE'],16
16,Was muss beim Einsetzen der Unterspule beachtet werden?,Beim Einsetzen der Unterspule muss die korrekte Fadenrichtung beachtet werden. Hierzu den Markierungen auf der Maschine folgen.,Einfädeln Unterspule,Einsetzen der Unterspule: ,6153963f97c84ce267a3d5fc,2024-06-14T16:01:16.984244+00:00,True,['KNOWLEDGE'],17
17,Wie erleichtere ich das Wegziehen des Stoffstücks wenn zuviel Spannung darauf ist?,"Sollte der Stoff spannen, das Handrad drehen, um die Spannung zu lösen und das Wegziehen des Stoffstücks zu erleichtern.",Elastische Stoffe (Falsch),Abschluss (1):,666385ac665424f2b86186cd,2024-06-14T16:02:02.730215+00:00,True,['KNOWLEDGE'],18
18,"Stimmt es, dass ich elastische Stoffe nicht vernähen sollte?","Korrekt, bei elastischen Stoffen sollte auf das Vernähen des Nahtbeginns verzichtet werden.",Elastische Stoffe (Richtig),Nähen:,666385ac665424f2b86186cd,2024-06-14T16:03:40.700780+00:00,False,,19
19,Was geschieht nach dem Nähvorgang?,Zuerst wird der Nähfuß mit dem Nähfußhebel angehoben.,Geradeausstich,Abschluss:,6153963f97c84ce267a3d5fc,2024-06-14T16:04:24.723743+00:00,True,['TEMPORAL'],20
20,Wie beginne ich elastische Stoffe?,"Durch Betätigen des Fußpedals mit dem Nähen beginnen ohne Vernähen des Nahtbeginns.
Die Naht bis zum gewünschten Ende vorwärts nähen.",Elastische Stoffe (Richtig),Nähen:,666385ac665424f2b86186cd,2024-06-14T16:04:46.432362+00:00,True,['KNOWLEDGE'],21
21,Wie wird der Stoff von der Maschine entfernt?,Der Stoff wird zur linken Seite weggezogen.,Geradeausstich,Abschluss:,6153963f97c84ce267a3d5fc,2024-06-14T16:05:15.679032+00:00,True,['SPATIAL'],22
22,"Was ist zu tun, wenn der Stoff sich nicht nach links ziehen lässt?","Das Handrad wird gedreht, um die Spannung zu lösen.",Geradeausstich,Abschluss:,6153963f97c84ce267a3d5fc,2024-06-14T16:06:05.583065+00:00,True,['KNOWLEDGE'],23
23,Kann ich elastische Stoffe zum Nahtbeginn vernähen?,"Nein, bei elastischen Stoffen sollte auf Vernähen des Nahtbeginns verzichtet werden.",Elastische Stoffe (Richtig),Nähen:,666385ac665424f2b86186cd,2024-06-14T16:06:27.525467+00:00,False,,24
24,Was passiert nach dem Einlegen der Unterspule?,Nach dem Einlegen der Unterspule wird die Spulenabdeckung geschlossen.,Einfädeln Unterspule,Schließen der Spulenabdeckung:,6153963f97c84ce267a3d5fc,2024-06-14T16:07:15.932543+00:00,True,['TEMPORAL'],25
25,Was ist beim Schließen der Spulenabdeckung zu beachten?,Beim Schließen der Spulenabdeckung ist die korrekte Fadenführung aus dem Spulenkorb heraus zu beachten.,Einfädeln Unterspule,Schließen der Spulenabdeckung:,6153963f97c84ce267a3d5fc,2024-06-14T16:08:20.854083+00:00,True,['KNOWLEDGE'],26
26,Wie wird der Spulenkorb geschlossen?,"Der Spulenkorb wird geschlossen, indem die Abdeckung korrekt aufgesetzt wird.",Einfädeln Unterspule,Schließen der Spulenabdeckung:,6153963f97c84ce267a3d5fc,2024-06-14T16:10:03.460790+00:00,False,,27
27,Was passiert nach dem Nähen mit elastischen Stoffen?,Zuerst wird der Nähfuß mit dem Nähfußhebel angehoben.,Elastische Stoffe (Richtig),Abschluss (2):,6153963f97c84ce267a3d5fc,2024-06-14T16:11:40.801083+00:00,True,['TEMPORAL'],28
28,"Was ist zu tun, wenn der Stoff sich nicht nach links wegziehen lässt?","Um die Spannung zu lösen, wird das Handrad gedreht.",Elastische Stoffe (Richtig),Abschluss (2):,6153963f97c84ce267a3d5fc,2024-06-14T16:12:44.561099+00:00,True,['KNOWLEDGE'],29
29,Was passiert nach dem Wegziehen des Stoffstückes?,Die Fäden werden mit dem integrierten Fadenschneider durchtrennt.,Elastische Stoffe (Richtig),Abschluss (2):,6153963f97c84ce267a3d5fc,2024-06-14T16:13:47.184803+00:00,True,['TEMPORAL'],30
30,Wo positioniere ich den Startpunkt der Naht?,Den Startpunkt der Naht positioniere ich unter der Nadel.,Elastische Stoffe (Richtig),Vorbereitung (1):,60915a5ad91c6f5cdcb5cf9f,2024-06-14T16:32:55.386804+00:00,True,['SPATIAL'],31
31,Wie senke ich den Nähfuß ab?,Den Nähfuß senke ich ich mit Hilfe des Nähfußhebels ab.,Elastische Stoffe (Richtig),Vorbereitung (1):,60915a5ad91c6f5cdcb5cf9f,2024-06-14T16:34:53.020567+00:00,True,['KNOWLEDGE'],32
32,"Welche Vorrichtung muss ich benutzen, um die Nadel manuell in den Stoff zu stechen?",Ich drehe das Handrad in Nutzerrichtung.,Elastische Stoffe (Richtig),Vorbereitung (1):,60915a5ad91c6f5cdcb5cf9f,2024-06-14T16:36:52.420416+00:00,True,['KNOWLEDGE'],33
33,Wie führe ich den Faden?,Entsprechend den auf der Nähmaschine angegebenen Markierungen oder Anleitungen.,Aufspulen,Fadenführung: ,60915a5ad91c6f5cdcb5cf9f,2024-06-14T16:39:57.626690+00:00,True,['KNOWLEDGE'],34
34,Was mache ich mit dem Faden?,"Ich schneide in ab, um die gewünschte Länge zu erhalten.",Aufspulen,Fadenführung: ,60915a5ad91c6f5cdcb5cf9f,2024-06-14T16:41:44.110777+00:00,False,,35
35,"Wie ziehe ich den Faden lang, um ihn abzuschneiden?","Ich ziehe ihn mit der rechten Hand lang und halte ihn dann mit der linken Hand fest, um den Faden abzuschneiden",Aufspulen,Fadenführung: ,60915a5ad91c6f5cdcb5cf9f,2024-06-14T16:45:13.197049+00:00,False,,36
36,"Mit welcher Hand schiebe ich den Stoff hauptsächlich vorwärts, um die Naht zu nähen?",Hauptsächlich mit der linken Hand.,Elastische Stoffe (Falsch),Nähen:,60915a5ad91c6f5cdcb5cf9f,2024-06-14T16:47:45.367181+00:00,True,['SPATIAL'],37
37,In welche Richtung wird die Naht genäht?,Die Naht wird vorwärts genäht.,Elastische Stoffe (Falsch),Nähen:,60915a5ad91c6f5cdcb5cf9f,2024-06-14T16:49:14.257839+00:00,False,,38
38,wie bringe ich den fadnheber auf die höchste position,Durch das manuelle drehen des Handrads bringt man fadnheber auf die höchste position,Einfädeln Oberspule,Führung des Oberfadens:,604b169fe4b7991ec08da3a6,2024-06-14T16:51:02.961472+00:00,True,['KNOWLEDGE'],39
